3	4	27	3	3
4	5	27	4	2
3	4	27	3	3
3	6	27	4	2
3	4	27	4	3
3	6	27	4	3
3	4	25	3	3
3	5	21	4	3
2	3	16	4	2
3	4	10	5	2
2	3	6	4	2
3	4	5	4	3
2	3	4	4	2
3	3	5	4	3
3	3	4	4	2
3	4	4	4	3
3	4	4	4	2
3	3	4	4	2
3	4	5	5	3
3	4	5	6	3
3	4	5	6	3
3	3	4	7	2
3	4	5	8	2
3	3	6	35	3
4	4	9	93	3
3	3	10	220	2
3	3	10	248	3
2	2	10	248	3
2	2	11	248	3
2	2	11	248	2
3	3	10	234	3
2	3	7	80	2
3	3	5	20	3
3	2	4	6	3
3	3	4	6	3
3	3	4	5	2
3	3	6	6	2
3	3	5	5	3
3	4	6	5	3
3	3	5	5	2
4	4	6	8	2
3	3	5	5	2
3	3	6	4	3
3	2	5	3	2
3	3	6	3	2
3	2	5	3	4
3	3	6	3	25
3	3	5	3	62
2	3	5	3	120
3	3	6	3	161
7	3	6	4	188
5	2	7	4	191
2	3	8	4	170
3	4	8	4	143
4	5	8	4	96
10	4	7	3	62
41	4	7	3	40
124	6	7	3	27
201	9	6	3	18
172	9	6	3	12
22	3	6	3	7
22	3	4	2	6
4	3	4	2	5
4	3	4	2	3
5	4	5	3	4
7	3	5	2	3
19	7	8	3	3
37	22	9	3	3
51	45	11	4	2
56	59	11	3	2
38	40	12	3	3
8	6	12	3	3
8	6	11	4	3
4	4	6	3	3
4	4	7	3	2
3	4	7	3	2
5	6	19	3	2
4	6	45	3	2
5	21	47	6	2
5	41	48	6	2
5	33	43	6	3
4	33	43	6	3
2	3	16	4	2
2	3	16	4	3
3	4	5	4	3
3	4	5	4	3
3	4	5	5	2
3	3	4	5	2
3	4	5	6	2
3	4	5	21	2
3	4	9	118	2
3	3	10	248	3
3	2	10	248	2
3	2	7	248	3
3	3	7	17	3
3	3	5	17	2
3	3	5	5	3
3	3	6	5	2
3	3	6	5	3
3	3	6	5	3
3	3	6	5	2
3	3	7	7	2
3	3	6	5	2
3	3	6	4	3
3	2	5	3	2
3	3	6	3	2
3	2	5	3	9
3	3	6	4	39
2	3	5	3	104
3	3	6	4	151
8	2	5	4	182
4	3	8	5	196
2	3	8	4	178
4	5	9	4	137
5	4	7	3	87
29	5	8	4	56
120	5	6	3	37
201	10	6	4	24
241	12	5	3	16
55	4	5	3	8
5	4	5	3	6
5	3	4	3	5
6	3	5	2	4
6	4	5	2	4
13	5	7	3	3
32	19	9	3	3
47	39	10	3	3
58	59	12	4	3
22	19	12	3	2
22	19	14	3	2
7	5	9	3	2
3	5	6	3	2
3	4	6	3	3
