5	2	7	4
2	3	8	4
3	4	8	4
4	5	8	4
10	4	7	3
41	4	7	3
124	6	7	3
201	9	6	3
172	9	6	3
22	3	6	3
22	3	4	2
4	3	4	2
4	3	4	2
5	4	5	3
7	3	5	2
19	7	8	3
37	22	9	3
51	45	11	4
56	59	11	3
38	40	12	3
8	6	12	3
8	6	11	4
4	4	6	3
4	4	7	3
3	4	7	3
5	6	19	3
4	6	45	3
5	21	47	6
5	41	48	6
5	33	43	6
4	33	43	6
2	3	16	4
2	3	16	4
3	4	5	4
3	4	5	4
3	4	5	5
3	3	4	5
3	4	5	6
3	4	5	21
3	4	9	118
3	3	10	248
3	2	10	248
3	2	7	248
3	3	7	17
3	3	5	17
3	3	5	5
3	3	6	5
3	3	6	5
3	3	6	5
3	3	6	5
3	3	7	7
3	3	6	5
3	3	6	4
3	2	5	3
3	3	6	3
3	2	5	3
3	3	6	4
2	3	5	3
3	3	6	4
8	2	5	4
4	3	8	5
