9	3	3	4	242
8	3	3	4	243
9	3	3	4	243
9	3	3	4	166
9	3	3	4	111
8	3	3	3	75
9	3	4	4	51
8	3	3	4	35
9	3	4	4	24
8	3	3	4	18
9	3	4	5	12
9	3	3	4	9
9	3	4	4	7
7	2	3	3	6
7	3	4	3	5
6	1	3	3	4
7	2	3	3	3
6	1	3	2	3
7	2	3	3	3
7	2	3	3	3
9	3	4	3	4
9	3	3	3	3
18	3	5	4	3
97	3	3	4	3
246	3	5	5	3
247	4	4	6	3
248	5	4	7	3
247	4	3	5	3
247	3	3	4	3
214	2	3	3	6
37	3	3	4	7
28	3	3	3	6
33	15	3	3	5
33	15	3	3	4
37	23	4	3	4
37	23	4	3	4
37	15	4	4	6
36	6	3	3	15
19	3	4	4	72
7	3	3	4	124
7	4	4	6	161
6	15	7	8	186
10	15	7	8	201
4	25	30	7	199
6	3	31	7	183
3	2	16	5	178
4	2	3	4	120
3	1	3	10	80
6	3	3	62	54
5	2	4	130	37
7	3	7	150	25
6	3	7	57	17
6	3	2	57	12
4	2	2	16	9
4	1	3	4	7
4	1	3	4	6
6	2	3	4	4
6	2	3	4	4
6	2	4	4	3
6	2	4	4	3
6	2	3	3	3
6	2	3	3	2
6	2	2	2	3
7	1	3	3	2
7	2	3	3	3
8	3	3	3	2
10	3	3	3	2
10	3	3	3	3
11	4	3	3	3
9	3	3	3	3
9	3	3	3	3
8	3	3	3	3
9	3	3	4	3
9	2	3	4	2
7	2	4	3	2
6	2	3	3	2
8	3	4	4	2
8	3	4	3	3
12	3	6	4	2
133	2	4	4	3
247	4	5	6	3
247	5	4	6	3
247	5	4	6	3
247	3	3	4	4
245	3	3	4	4
43	3	3	3	4
35	5	3	3	4
33	14	3	3	6
37	24	4	3	5
38	24	4	3	4
35	14	4	4	10
32	5	3	3	34
12	3	4	4	82
6	3	3	4	132
12	4	21	8	167
12	4	21	8	183
4	24	28	7	172
4	2	26	6	168
3	2	3	4	156
4	2	3	7	105
5	2	3	48	69
5	3	4	108	47
6	3	7	153	32
6	3	7	63	22
6	3	3	63	15
4	2	3	4	11
4	2	3	4	8
5	2	3	4	7
6	3	4	4	5
6	3	4	4	4
7	3	4	5	3
6	3	4	4	3
6	3	4	4	3
6	2	3	3	3
6	2	3	3	2
6	1	2	3	2
