#C-B	0_1	1_1	2_1	3_1	4_1	5_1	6_1	7_1	8_1	9_1	10_1	11_1	12_1	13_1	14_1	15_1	16_1	17_1	18_1	20_1	21_1
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
200	0.0714286	0.214286	0.357143	0.357143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
400	0.0952381	0.285714	0.357143	0.261905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
600	0.25	0.2	0.15	0.2	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800	0.153846	0.0512821	0.128205	0.0512821	0	0.205128	0.153846	0.230769	0.025641	0	0	0	0	0	0	0	0	0	0	0	0
1000	0.0571429	0.114286	0.2	0.0285714	0.142857	0.285714	0.114286	0.0571429	0	0	0	0	0	0	0	0	0	0	0	0	0
1200	0.0512821	0.0769231	0.153846	0.0769231	0.282051	0.0769231	0.0769231	0.0512821	0	0.153846	0	0	0	0	0	0	0	0	0	0	0
1400	0.0277778	0.0277778	0.0277778	0	0.0277778	0.277778	0.0277778	0	0.444444	0.138889	0	0	0	0	0	0	0	0	0	0	0
1600	0	0.0909091	0	0	0.30303	0.151515	0.0606061	0	0.212121	0.121212	0.0606061	0	0	0	0	0	0	0	0	0	0
1800	0	0	0	0	0.305556	0.0277778	0.0277778	0	0.138889	0.194444	0.305556	0	0	0	0	0	0	0	0	0	0
2000	0.027027	0	0.108108	0.027027	0.135135	0.027027	0.0540541	0.0810811	0.189189	0.0540541	0.297297	0	0	0	0	0	0	0	0	0	0
2200	0.0277778	0.138889	0.166667	0	0.166667	0	0.0555556	0.0555556	0	0.138889	0.25	0	0	0	0	0	0	0	0	0	0
2400	0.0512821	0.102564	0.0512821	0.025641	0.0512821	0.025641	0.025641	0.358974	0.0512821	0.102564	0.153846	0	0	0	0	0	0	0	0	0	0
2600	0.0227273	0.181818	0.0909091	0.0454545	0.0454545	0	0	0.363636	0.0909091	0.113636	0.0454545	0	0	0	0	0	0	0	0	0	0
2800	0.142857	0.114286	0	0.0571429	0	0.0285714	0	0.257143	0.0571429	0.114286	0.228571	0	0	0	0	0	0	0	0	0	0
3000	0.195652	0.0217391	0.0217391	0.0869565	0.0217391	0	0.0434783	0.23913	0.108696	0.130435	0.130435	0	0	0	0	0	0	0	0	0	0
3200	0.105263	0.0263158	0.0789474	0.105263	0.0526316	0	0	0.368421	0.210526	0	0.0526316	0	0	0	0	0	0	0	0	0	0
3400	0.178571	0.107143	0.142857	0.0357143	0	0	0	0.392857	0.0357143	0	0.107143	0	0	0	0	0	0	0	0	0	0
3600	0.125	0.15	0.075	0.025	0.075	0	0	0.25	0.075	0.05	0.025	0	0	0.15	0	0	0	0	0	0	0
3800	0.105263	0.0789474	0.0263158	0.0263158	0.0526316	0.0263158	0	0.105263	0	0.0526316	0.0789474	0	0.184211	0.263158	0	0	0	0	0	0	0
4000	0.0689655	0.103448	0	0	0	0	0	0.103448	0	0.0689655	0.0344828	0	0.206897	0.206897	0.206897	0	0	0	0	0	0
4200	0.0232558	0.0697674	0	0.0930233	0	0	0	0.0697674	0.0465116	0	0	0.209302	0.0697674	0.186047	0.232558	0	0	0	0	0	0
4400	0.0263158	0.105263	0	0.0526316	0	0	0	0.0263158	0.0263158	0	0.0263158	0.236842	0.0526316	0.236842	0.210526	0	0	0	0	0	0
4600	0.025641	0	0.025641	0.0769231	0	0	0.025641	0.025641	0	0	0	0.358974	0.102564	0.230769	0.128205	0	0	0	0	0	0
4800	0	0	0	0.0243902	0	0	0	0.0487805	0.0487805	0	0	0.317073	0.0731707	0.268293	0.170732	0	0.0487805	0	0	0	0
5000	0.0232558	0	0	0.0697674	0	0	0	0.0232558	0.0465116	0	0.0232558	0.0930233	0.0930233	0.186047	0.209302	0	0.232558	0	0	0	0
5200	0	0	0	0.030303	0	0	0	0.030303	0.030303	0	0	0.242424	0.0606061	0.151515	0.212121	0	0.242424	0	0	0	0
5400	0.025	0	0	0	0	0	0	0.025	0	0	0	0.225	0.025	0.2	0.225	0.025	0.1	0.15	0	0	0
5600	0	0	0.025641	0.0769231	0	0.025641	0	0.0512821	0	0	0.025641	0.0512821	0.0512821	0.0769231	0.153846	0.205128	0.102564	0.153846	0	0	0
5800	0	0	0	0.0540541	0	0	0	0.108108	0	0	0	0.0540541	0.0540541	0.0540541	0.108108	0.243243	0.108108	0.216216	0	0	0
6000	0	0	0	0	0	0	0	0.0243902	0	0	0	0.0731707	0.0487805	0.0731707	0.121951	0.341463	0.146341	0.170732	0	0	0
6200	0	0	0	0	0	0	0	0.0512821	0	0	0	0	0	0.102564	0.0769231	0.333333	0.128205	0.307692	0	0	0
6400	0	0	0	0	0.0204082	0	0	0.0204082	0	0	0.0204082	0.0612245	0.0204082	0.0408163	0	0.367347	0.102041	0.346939	0	0	0
6600	0	0	0.0243902	0	0	0	0	0	0.0243902	0	0	0.0487805	0.0487805	0.121951	0.146341	0.219512	0.0487805	0.317073	0	0	0
6800	0.030303	0	0	0	0	0	0	0	0	0	0.030303	0	0	0.030303	0.121212	0.575758	0.0606061	0.151515	0	0	0
7000	0.0285714	0	0	0	0	0	0	0	0	0	0	0	0.0285714	0.0857143	0.0571429	0.285714	0.0571429	0.171429	0.2	0.0857143	0
7200	0	0	0	0	0	0	0	0	0.0263158	0	0	0.0789474	0.0526316	0	0.157895	0.157895	0.0263158	0.157895	0.131579	0.210526	0
7400	0	0	0	0	0	0	0	0.0243902	0	0	0.0243902	0	0.0243902	0.121951	0.0487805	0.146341	0.097561	0.097561	0.268293	0.146341	0
7600	0	0	0	0	0	0	0	0.03125	0	0	0	0	0.03125	0.0625	0.0625	0.40625	0.09375	0.0625	0.21875	0.03125	0
7800	0	0	0	0	0.0243902	0	0	0.0243902	0	0	0	0.0487805	0	0.0731707	0.097561	0.097561	0.121951	0.121951	0.243902	0.146341	0
8000	0	0	0	0	0	0	0	0	0	0	0	0	0	0.117647	0.0588235	0.264706	0.0588235	0.0882353	0.264706	0.147059	0
8200	0.0243902	0	0	0	0	0	0	0	0	0	0.0243902	0	0	0.0731707	0	0.195122	0.0487805	0.121951	0.268293	0.243902	0
8400	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0545455	0.0363636	0.290909	0.0363636	0.0363636	0.218182	0.327273	0
8600	0	0	0	0	0	0	0	0	0	0	0	0.025641	0.0512821	0.0512821	0	0.102564	0	0.128205	0.333333	0.307692	0
8800	0.0277778	0	0	0	0	0	0	0	0	0	0.0277778	0.0555556	0	0	0.0277778	0.194444	0.138889	0.0833333	0.25	0.194444	0
9000	0	0.0196078	0	0	0.0196078	0	0	0	0	0	0.0196078	0.0588235	0	0.0588235	0	0.372549	0.0392157	0.0588235	0.235294	0.117647	0
9200	0	0	0	0	0	0	0	0	0	0	0	0.0285714	0	0.0285714	0.0285714	0.257143	0.0285714	0.142857	0.257143	0.228571	0
