#C-B 0_1 1_1 2_1 3_1 0_2 1_2 2_2 3_2 0_4 1_4 2_4 3_4 0_5 2_5 3_5 0_7 1_7 0_8 1_8 2_8 3_8 0_9 2_10 3_10 0_11 1_11 2_11 3_11 0_12 1_12 2_12 3_12 1_14 0_15 1_15 2_15 3_15 0_17 1_17 2_17 3_17 0_18 0_19 1_19 2_19 3_19 0_20 0_21 1_21 2_21 1_22 2_24 3_24 0_27 1_27 2_27 2_29 3_29 1_31 0_32 1_32 2_33 0_34 2_37 0_39 1_39 0_40 3_40 3_41 3_45 2_47 0_48 0_49 0_50 2_52 0_55 0_58 3_60 
4000 0.133333 0.688889 0.177778 0 0.0512821 0.128205 0.410256 0.410256 0.142857 0 0.857143 0 0 0 0 0 0 0.777778 0.0833333 0.138889 0 0 0 1 0.333333 0 0.333333 0.333333 0 0.0526316 0.947368 0 0 0 1 0 0 0.5 0.125 0.375 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 
4200 0.134615 0.75 0.115385 0 0.0222222 0.0222222 0.333333 0.622222 0.333333 0 0.666667 0 0 0 0 0 1 0.829268 0.097561 0.0487805 0.0243902 0 0 1 0 0 0.666667 0.333333 0.1 0 0.9 0 0 0 0 0 0 0.428571 0 0.571429 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.333333 0.666667 0 0 0 0 0 0 0 0 0 0 0 0 
4400 0.075 0.8 0.1 0.025 0 0.0612245 0.387755 0.55102 0 0 0.888889 0.111111 0 0 0 0 0 0.933333 0.0666667 0 0 0 0 1 0.4 0 0.4 0.2 0 0.0322581 0.967742 0 0 0.333333 0.666667 0 0 0.5 0 0.5 0 0 0 0.166667 0.833333 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 
4600 0.108108 0.72973 0.162162 0 0.0263158 0 0.263158 0.710526 0.181818 0.0909091 0.636364 0.0909091 0 0 0 0 0 0.851064 0.0638298 0.0851064 0 0 1 0 0.333333 0 0.333333 0.333333 0.05 0.05 0.9 0 0 0.6 0.4 0 0 0.5 0 0.5 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 
4800 0.116279 0.72093 0.162791 0 0.0612245 0.0612245 0.326531 0.55102 0 0.166667 0.833333 0 0 0 0 0 0 0.916667 0.0555556 0.0277778 0 0 0 0 0 0 1 0 0 0.0384615 0.961538 0 0 1 0 0 0 0.7 0 0.3 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 
5000 0.108696 0.782609 0.108696 0 0.025641 0.025641 0.410256 0.538462 0.333333 0 0.666667 0 0 0 1 0 0 0.866667 0.111111 0.0222222 0 0 0 1 0 0 0.75 0.25 0 0 1 0 0 0.5 0.5 0 0 0.625 0 0.375 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
5200 0.0416667 0.875 0.0833333 0 0 0.125 0.475 0.4 0.142857 0 0.857143 0 0 0 0 0 0 0.8 0.142857 0.0571429 0 0 0.5 0.5 0 0 0.857143 0.142857 0 0.0740741 0.925926 0 1 1 0 0 0 0.75 0 0.25 0 0 0 0.166667 0.666667 0.166667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 
5400 0.0263158 0.789474 0.157895 0.0263158 0.0208333 0.0208333 0.375 0.583333 0.333333 0.333333 0.166667 0.166667 0 0 0 0 0 0.941176 0.0196078 0.0392157 0 0 0 1 0.333333 0 0.666667 0 0 0.0909091 0.909091 0 0 0 1 0 0 0.571429 0 0.285714 0.142857 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 
5600 0.156863 0.72549 0.117647 0 0.047619 0.047619 0.5 0.404762 0.666667 0.166667 0.166667 0 0 0 0 0 0 0.871795 0.0769231 0.025641 0.025641 0 0.333333 0.666667 0.666667 0 0 0.333333 0.1 0 0.9 0 0 0.5 0.5 0 0 0.3 0 0.7 0 0 0 0.666667 0.333333 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 
5800 0.0851064 0.723404 0.191489 0 0 0.116279 0.372093 0.511628 0.166667 0 0.833333 0 0 0 0 0 0 0.878049 0.0487805 0.0731707 0 0 0 1 0.2 0 0.2 0.6 0.0666667 0 0.866667 0.0666667 0 0.5 0.5 0 0 0.571429 0 0.428571 0 0 0 0.142857 0.857143 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 
6000 0.0243902 0.853659 0.121951 0 0.0555556 0.0555556 0.444444 0.444444 0 0.0769231 0.923077 0 0 0 0 0 0 0.893617 0.0638298 0.0425532 0 0 0 1 0.5 0 0.5 0 0.0384615 0.0384615 0.923077 0 0 0 1 0 0 0.8 0 0.2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 
6200 0.06 0.86 0.08 0 0.047619 0.0238095 0.333333 0.595238 0.142857 0 0.857143 0 0 0 0 0 0 0.790698 0.0930233 0.0930233 0.0232558 0 0 1 0.3 0 0.5 0.2 0 0.1 0.9 0 0 0 0 0 0 0.625 0 0.375 0 0 0 0.333333 0.666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 
6400 0.2 0.688889 0.111111 0 0.06 0.06 0.46 0.42 0.142857 0.142857 0.714286 0 0 0 1 0 0 0.886364 0.0454545 0.0681818 0 0 0 0 0.333333 0 0.666667 0 0 0.0526316 0.947368 0 0 0 1 0 0 0.5 0 0.5 0 0 0 0.6 0.4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 
6600 0.0434783 0.782609 0.152174 0.0217391 0.0882353 0 0.323529 0.588235 0.25 0.0833333 0.666667 0 0 0 0 0 0 0.9 0.075 0.025 0 0 0.5 0.5 0.166667 0 0.833333 0 0 0 1 0 0 0.333333 0.666667 0 0 0.75 0 0.25 0 0 0.2 0 0.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1 0 0 0 0 0 
6800 0.133333 0.777778 0.0888889 0 0.025 0 0.3 0.675 0 0.142857 0.857143 0 0 0.5 0.5 0 0 0.769231 0.102564 0.102564 0.025641 0 0 1 0.375 0 0.375 0.25 0 0.0454545 0.954545 0 0 0.333333 0.666667 0 0 0.4 0.1 0.5 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 
7000 0.137255 0.745098 0.117647 0 0.0232558 0.0465116 0.418605 0.511628 0.25 0 0.75 0 0 0 0 0 0 0.948718 0.025641 0.025641 0 0 0 0 0 0.2 0.6 0.2 0 0 1 0 0 0.25 0.75 0 0 0.5 0 0.5 0 0 0 0.166667 0.833333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 1 0 0 0 0 0 
7200 0.0888889 0.844444 0.0666667 0 0.0857143 0.0857143 0.342857 0.485714 0.25 0.5 0.25 0 0 0 0 0 0 0.883721 0.0697674 0.0465116 0 0 0 0 0.428571 0 0.571429 0 0 0 1 0 0 1 0 0 0 0.571429 0.142857 0.285714 0 0 0 0.5 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0.75 0.25 0 0 0 0 0 1 0 0 0 0 
7400 0.1875 0.708333 0.104167 0 0.0454545 0.0454545 0.318182 0.590909 0.142857 0.0714286 0.785714 0 0 0 0 0 0 0.871795 0.102564 0.025641 0 0 1 0 0.5 0 0.5 0 0.0454545 0 0.954545 0 0 0.666667 0 0.333333 0 0 0 1 0 0 0 0.2 0.8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 
7600 0.128205 0.666667 0.205128 0 0 0.0769231 0.410256 0.512821 0.3 0.2 0.5 0 0 0 1 0 0 0.860465 0.0465116 0.0930233 0 0 0 1 0 0 1 0 0 0.142857 0.857143 0 0 1 0 0 0 0 0 1 0 0 0 0.166667 0.833333 0 0 0 0 0 0 0 0 0.5 0.5 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 
7800 0.0754717 0.660377 0.264151 0 0.0625 0.0625 0.34375 0.53125 0.125 0 0.875 0 0 0 0 0 0 0.928571 0.047619 0.0238095 0 0 0 1 0.125 0 0.625 0.25 0.04 0.04 0.92 0 0 0 1 0 0 0.333333 0 0.666667 0 0 0.25 0.25 0.5 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 
8000 0.075 0.85 0.075 0 0 0.0465116 0.372093 0.581395 0.0714286 0 0.714286 0.214286 0 0 0 0 0 0.882353 0.117647 0 0 0 0 1 0.333333 0 0.666667 0 0 0 1 0 0 0 1 0 0 0.5 0 0.4 0.1 0 0 0.142857 0.857143 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 
8200 0.0454545 0.75 0.204545 0 0.0204082 0.183673 0.244898 0.55102 0.111111 0 0.888889 0 0 0 0 0 0 0.871795 0.0769231 0.0512821 0 0 0 0 0 0 0.857143 0.142857 0.0588235 0.0588235 0.882353 0 0 0.5 0.5 0 0 0.666667 0 0.333333 0 0 0 0.5 0.5 0 0 0 0 0 0 0 0 0.2 0.4 0.4 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 
8400 0.111111 0.711111 0.155556 0.0222222 0.0238095 0.0714286 0.285714 0.619048 0.25 0 0.75 0 0 0 0 0 0 0.925 0 0.075 0 0 0 1 0.25 0 0.5 0.25 0.037037 0.0740741 0.888889 0 0 0 1 0 0 0.454545 0 0.545455 0 0 0 0 1 0 0 0 1 0 0 0 0 0.5 0.5 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 
8600 0.0833333 0.75 0.166667 0 0.0263158 0.105263 0.315789 0.552632 0.3 0.3 0.4 0 0 0 0 0 0 0.8 0.0888889 0.111111 0 0 0 1 0.333333 0 0.666667 0 0 0.0555556 0.944444 0 0 0.333333 0.666667 0 0 0.666667 0 0.333333 0 0 0 0.666667 0.333333 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 
8800 0.0416667 0.8125 0.145833 0 0 0.0769231 0.358974 0.564103 0.2 0.1 0.6 0.1 0 0 0 0 0 0.825 0.05 0.1 0.025 0 0 1 0.4 0 0.6 0 0.0526316 0.157895 0.789474 0 0 0.666667 0.333333 0 0 0.5 0.166667 0.333333 0 0 0.0833333 0.25 0.666667 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 
9000 0.0769231 0.807692 0.115385 0 0.0294118 0.0882353 0.264706 0.617647 0.333333 0 0.666667 0 0 0 0 0 0 0.8 0.05 0.15 0 0 0 1 0.5 0 0.5 0 0.0909091 0 0.909091 0 0 0.666667 0.333333 0 0 0.666667 0 0.333333 0 0 0 0 1 0 0 0 0 0 0 0 0 0.333333 0.666667 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 
9200 0.137255 0.72549 0.137255 0 0.0263158 0.0526316 0.236842 0.684211 0.428571 0.285714 0.285714 0 0 0 1 1 0 0.888889 0.0277778 0.0833333 0 0 0 1 0.25 0 0.5 0.25 0 0 0.947368 0.0526316 1 0 1 0 0 0.666667 0 0.333333 0 0 0.125 0.125 0.75 0 0 0 0 0 0 0 0 0 0.666667 0.333333 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 
9400 0.113636 0.795455 0.0681818 0.0227273 0.0238095 0.047619 0.214286 0.714286 0.25 0.25 0.5 0 0 0 0 0 0 0.901961 0.0588235 0.0392157 0 0 0 1 1 0 0 0 0 0 1 0 0 0.333333 0.666667 0 0 0.875 0 0.125 0 0 0 0 1 0 0 0 0 0 0 0 0 0.25 0.5 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
9600 0.0851064 0.765957 0.148936 0 0.0263158 0.0263158 0.394737 0.552632 0.166667 0 0.5 0.333333 0 0 1 0 0 0.901961 0.0588235 0.0392157 0 0 0 0 0.4 0 0.4 0.2 0.0909091 0.0454545 0.772727 0.0909091 0 0.333333 0.666667 0 0 0.5 0 0.5 0 0 0.25 0 0.75 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 
9800 0.170732 0.707317 0.121951 0 0.0512821 0.0769231 0.410256 0.461538 0.2 0 0.8 0 0 0 0 1 0 0.909091 0 0.0909091 0 0 0 1 0.428571 0 0.571429 0 0 0.111111 0.833333 0.0555556 0 0.5 0.5 0 0 0.666667 0 0.333333 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 1 0 
10000 0.0930233 0.813953 0.0930233 0 0.05 0.075 0.325 0.55 0.111111 0.111111 0.777778 0 0.5 0.5 0 0 0 0.784314 0.0588235 0.156863 0 0 0 0 0 0 1 0 0.0526316 0 0.842105 0.105263 0 0.666667 0.333333 0 0 0.5 0 0.5 0 0 0.25 0.25 0.5 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 
