#C-B	0_8	1_8	2_8	3_8
0	0	0	0	0
200	0.666667	0	0.333333	0
400	0.5	0	0.5	0
600	0.666667	0	0.333333	0
800	0.625	0.15625	0.21875	0
1000	0.48	0.12	0.28	0.12
1200	0.470588	0.176471	0.235294	0.117647
1400	0.666667	0.133333	0.2	0
1600	0.782609	0	0.0869565	0.130435
1800	0.785714	0.0357143	0.0357143	0.142857
2000	0.346154	0.0384615	0.115385	0.5
2200	0.409091	0.0454545	0.0909091	0.454545
2400	0.4	0.0857143	0	0.514286
2600	0.45	0.025	0.1	0.425
2800	0.55	0.075	0.1	0.275
3000	0.823529	0.0294118	0.0588235	0.0882353
3200	0.86	0.04	0.06	0.04
3400	0.891892	0.027027	0.0810811	0
3600	0.8	0.06	0.1	0.04
3800	0.771429	0.142857	0.0285714	0.0571429
4000	0.777778	0.0833333	0.138889	0
4200	0.829268	0.097561	0.0487805	0.0243902
4400	0.933333	0.0666667	0	0
4600	0.851064	0.0638298	0.0851064	0
4800	0.916667	0.0555556	0.0277778	0
5000	0.866667	0.111111	0.0222222	0
5200	0.8	0.142857	0.0571429	0
5400	0.941176	0.0196078	0.0392157	0
5600	0.871795	0.0769231	0.025641	0.025641
5800	0.878049	0.0487805	0.0731707	0
6000	0.893617	0.0638298	0.0425532	0
6200	0.790698	0.0930233	0.0930233	0.0232558
6400	0.886364	0.0454545	0.0681818	0
6600	0.9	0.075	0.025	0
6800	0.769231	0.102564	0.102564	0.025641
7000	0.948718	0.025641	0.025641	0
7200	0.883721	0.0697674	0.0465116	0
7400	0.871795	0.102564	0.025641	0
7600	0.860465	0.0465116	0.0930233	0
7800	0.928571	0.047619	0.0238095	0
8000	0.882353	0.117647	0	0
8200	0.871795	0.0769231	0.0512821	0
8400	0.925	0	0.075	0
8600	0.8	0.0888889	0.111111	0
8800	0.825	0.05	0.1	0.025
9000	0.8	0.05	0.15	0
9200	0.888889	0.0277778	0.0833333	0
9400	0.901961	0.0588235	0.0392157	0
9600	0.901961	0.0588235	0.0392157	0
9800	0.909091	0	0.0909091	0
10000	0.784314	0.0588235	0.156863	0
