#C-B	2_1	4_1	11_1	28_1	34_1	45_1	74_1
0	0	0	0	0	0	0	0
200	0.5	0.428571	0.0714286	0	0	0	0
400	0	0.774194	0.225806	0	0	0	0
600	0	0.615385	0.384615	0	0	0	0
800	0.166667	0.194444	0.583333	0	0	0	0
1000	0.16129	0.16129	0.645161	0	0	0	0
1200	0.290323	0.0645161	0.516129	0	0.0645161	0	0
1400	0.244444	0.0888889	0.644444	0	0.0222222	0	0
1600	0.25	0.142857	0.607143	0	0	0	0
1800	0.26087	0.0869565	0.565217	0	0	0.0434783	0
2000	0.292683	0.146341	0.487805	0	0	0.0487805	0
2200	0.258065	0.129032	0.548387	0.0322581	0	0	0
2400	0.25641	0.102564	0.615385	0	0	0	0
2600	0.289474	0.157895	0.552632	0	0	0	0
2800	0.375	0.1875	0.4375	0	0	0	0
3000	0.22449	0.367347	0.387755	0	0	0	0
3200	0.277778	0.111111	0.583333	0	0	0	0
3400	0.25	0.214286	0.464286	0	0	0	0
3600	0.37037	0.0740741	0.555556	0	0	0	0
3800	0.170732	0.341463	0.439024	0	0	0.0243902	0
4000	0.216216	0.189189	0.567568	0	0	0	0
4200	0.227273	0.295455	0.477273	0	0	0	0
4400	0.333333	0.30303	0.363636	0	0	0	0
4600	0.351351	0.27027	0.27027	0.0540541	0	0	0
4800	0.210526	0.236842	0.473684	0	0	0.0526316	0
5000	0.266667	0.244444	0.466667	0	0	0	0
5200	0.219512	0.365854	0.390244	0.0243902	0	0	0
5400	0.025641	0.230769	0.692308	0	0	0.0512821	0
5600	0	0.125	0.833333	0	0	0	0
5800	0.0277778	0.333333	0.583333	0	0	0.0277778	0.0277778
6000	0	0.317073	0.634146	0	0	0	0.0487805
6200	0.025641	0.333333	0.589744	0	0	0	0
6400	0	0.25	0.659091	0	0	0.0227273	0.0454545
6600	0	0.4	0.542857	0	0	0	0.0285714
6800	0.027027	0.378378	0.540541	0	0	0	0.027027
7000	0.025641	0.307692	0.641026	0	0	0	0.025641
7200	0	0.232558	0.767442	0	0	0	0
7400	0.025	0.325	0.6	0	0	0	0.05
7600	0	0.25	0.7	0	0	0	0.025
7800	0.0222222	0.266667	0.711111	0	0	0	0
8000	0.0666667	0.333333	0.466667	0	0	0	0.0888889
8200	0.0227273	0.340909	0.568182	0	0	0	0.0681818
8400	0	0.3	0.625	0	0	0.025	0.05
8600	0.0612245	0.244898	0.612245	0	0	0	0.0612245
8800	0	0.162162	0.783784	0	0	0	0.027027
9000	0.1	0.1	0.65	0	0	0	0.075
9200	0.551724	0.310345	0.103448	0	0	0	0.0344828
9400	0.416667	0.305556	0.222222	0	0	0	0.0555556
9600	0.428571	0.457143	0.0571429	0	0	0	0.0571429
9800	0.555556	0.194444	0.138889	0	0	0.0277778	0.0555556
10000	0.514286	0.285714	0.142857	0	0	0	0.0571429
