#C-B	0_12	1_12	2_12	3_12
0	0	0	0	0
200	0	0	0	0
400	0	0	1	0
600	0	0	1	0
800	0	0	1	0
1000	0	0	1	0
1200	0	0	1	0
1400	0	0.0714286	0.928571	0
1600	0	0.153846	0.846154	0
1800	0.117647	0	0.882353	0
2000	0.2	0	0.8	0
2200	0.176471	0	0.764706	0.0588235
2400	0.0714286	0	0.928571	0
2600	0.285714	0	0.714286	0
2800	0.142857	0	0.857143	0
3000	0.105263	0.0526316	0.789474	0.0526316
3200	0.133333	0	0.866667	0
3400	0	0.0769231	0.923077	0
3600	0	0.0714286	0.928571	0
3800	0.0526316	0	0.894737	0.0526316
4000	0	0.0526316	0.947368	0
4200	0.1	0	0.9	0
4400	0	0.0322581	0.967742	0
4600	0.05	0.05	0.9	0
4800	0	0.0384615	0.961538	0
5000	0	0	1	0
5200	0	0.0740741	0.925926	0
5400	0	0.0909091	0.909091	0
5600	0.1	0	0.9	0
5800	0.0666667	0	0.866667	0.0666667
6000	0.0384615	0.0384615	0.923077	0
6200	0	0.1	0.9	0
6400	0	0.0526316	0.947368	0
6600	0	0	1	0
6800	0	0.0454545	0.954545	0
7000	0	0	1	0
7200	0	0	1	0
7400	0.0454545	0	0.954545	0
7600	0	0.142857	0.857143	0
7800	0.04	0.04	0.92	0
8000	0	0	1	0
8200	0.0588235	0.0588235	0.882353	0
8400	0.037037	0.0740741	0.888889	0
8600	0	0.0555556	0.944444	0
8800	0.0526316	0.157895	0.789474	0
9000	0.0909091	0	0.909091	0
9200	0	0	0.947368	0.0526316
9400	0	0	1	0
9600	0.0909091	0.0454545	0.772727	0.0909091
9800	0	0.111111	0.833333	0.0555556
10000	0.0526316	0	0.842105	0.105263
