#C-B	0_1	1_1	2_1	3_1
0	0	0	0	0
200	0.933333	0.0333333	0.0333333	0
400	1	0	0	0
600	1	0	0	0
800	0.863636	0.0909091	0.0454545	0
1000	0.974359	0	0	0.025641
1200	0.954545	0.0454545	0	0
1400	0.909091	0	0.0606061	0.030303
1600	0.935484	0.0322581	0	0.0322581
1800	0.882353	0.0882353	0.0294118	0
2000	0.84375	0.0625	0.0625	0.03125
2200	0.926829	0.0243902	0.0487805	0
2400	0.815789	0.0526316	0.105263	0.0263158
2600	0.925926	0	0.037037	0.037037
2800	0.842105	0.0789474	0.0263158	0.0526316
3000	0.888889	0.0185185	0.0925926	0
3200	0.763158	0.0263158	0.157895	0.0526316
3400	0.829787	0.0212766	0.12766	0.0212766
3600	0.871795	0.0512821	0.0769231	0
3800	0.906977	0.0697674	0.0232558	0
4000	0.697674	0.0697674	0.209302	0.0232558
4200	0.8	0.0222222	0.133333	0.0444444
4400	0.782609	0.0434783	0.0869565	0.0869565
4600	0.923077	0	0.0769231	0
4800	0.864407	0.0338983	0.0677966	0.0338983
5000	0.954545	0	0.0454545	0
5200	0.769231	0.0769231	0.102564	0.0512821
5400	0.901961	0	0.0980392	0
5600	0.833333	0.0238095	0.142857	0
5800	0.803571	0.0535714	0.142857	0
6000	0.871795	0.025641	0.0769231	0.025641
6200	0.851064	0	0.148936	0
6400	0.823529	0	0.147059	0.0294118
6600	0.923077	0.0512821	0.025641	0
6800	0.842105	0.0263158	0.131579	0
7000	0.685185	0.12963	0.185185	0
7200	0.72549	0	0.215686	0.0588235
7400	0.702128	0.0212766	0.255319	0.0212766
7600	0.703704	0.037037	0.259259	0
7800	0.790698	0.0697674	0.116279	0.0232558
8000	0.893617	0	0.0851064	0.0212766
8200	0.857143	0	0.114286	0.0285714
8400	0.767442	0	0.209302	0.0232558
8600	0.787234	0	0.191489	0.0212766
8800	0.843137	0	0.137255	0.0196078
9000	0.795918	0	0.142857	0.0612245
9200	0.869565	0.0217391	0.0869565	0.0217391
9400	0.882353	0.0196078	0.0980392	0
9600	0.823529	0.0392157	0.117647	0.0196078
9800	0.8	0.04	0.12	0.04
10000	0.893617	0.0425532	0.0425532	0.0212766
